tconst,name_award,received_on,imbd_id
tt0063141,National Board of Review: Top Ten Films,,
tt0073486,BAFTA Award for Best Film,1976-01-01T00:00:00Z,
tt0073486,BAFTA Award for Best Actor in a Leading Role,1976-01-01T00:00:00Z,
tt0073486,Academy Award for Best Writing Adapted Screenplay,1974-01-01T00:00:00Z,
tt0073486,Academy Award for Best Actor,1975-01-01T00:00:00Z,
tt0073486,National Board of Review: Top Ten Films,,
tt0073486,Academy Award for Best Director,1975-01-01T00:00:00Z,
tt0073486,Academy Award for Best Picture,1976-01-01T00:00:00Z,
tt0073486,Academy Award for Best Actress,1975-01-01T00:00:00Z,
tt0076245,David di Donatello for Best Foreign Actress,1978-01-01T00:00:00Z,
tt0076245,National Board of Review: Top Ten Films,,
tt0076245,Golden Globe Award for Best Actress – Motion Picture Drama,1977-01-01T00:00:00Z,
tt0076245,BAFTA Award for Best Screenplay,,
tt0076245,Academy Award for Best Supporting Actor,1976-01-01T00:00:00Z,
tt0076245,Academy Award for Best Supporting Actress,1976-01-01T00:00:00Z,
tt0076245,Golden Globe Award for Best Supporting Actress – Motion Picture,1977-01-01T00:00:00Z,
tt0076245,BAFTA Award for Best Actress in a Leading Role,1979-01-01T00:00:00Z,
tt0076245,BAFTA Award for Best Film,1979-01-01T00:00:00Z,
tt0076245,Academy Award for Best Writing Adapted Screenplay,1976-01-01T00:00:00Z,
tt0057731,Daytime Emmy Award for Outstanding Lead Actor in a Drama Series,1980-01-01T00:00:00Z,
tt0057731,Daytime Emmy Award for Outstanding Lead Actress in a Drama Series,1993-01-01T00:00:00Z,
tt0057731,Daytime Emmy Award for Outstanding Lead Actress in a Drama Series,1979-01-01T00:00:00Z,
tt0057731,Directors Guild of America Award for Outstanding Directing – Daytime Serials,1992-01-01T00:00:00Z,
tt0057731,Daytime Emmy Award for Outstanding Younger Actress in a Drama Series,1986-01-01T00:00:00Z,
tt0057731,Daytime Emmy Award for Outstanding Supporting Actress in a Drama Series,1996-01-01T00:00:00Z,
tt0057731,Daytime Emmy Award for Outstanding Lead Actress in a Drama Series,1978-01-01T00:00:00Z,
tt0057731,Daytime Emmy Award for Outstanding Lead Actor in a Drama Series,1996-01-01T00:00:00Z,
tt0057731,Daytime Emmy Award for Outstanding Drama Series Directing Team,1992-01-01T00:00:00Z,
tt0057731,Daytime Emmy Award for Outstanding Drama Series,,
tt0057731,Daytime Emmy Award for Outstanding Younger Actress in a Drama Series,1991-01-01T00:00:00Z,
tt0057731,Daytime Emmy Award for Outstanding Lead Actor in a Drama Series,1981-01-01T00:00:00Z,
tt0057731,Daytime Emmy Award for Outstanding Drama Series,1976-01-01T00:00:00Z,
tt0057731,Daytime Emmy Award for Outstanding Drama Series Writing Team,1975-01-01T00:00:00Z,
tt0071315,Academy Award for Best Writing Original Screenplay,1973-01-01T00:00:00Z,
tt0071315,National Board of Review: Top Ten Films,,
tt0079477,Academy Award for Best Original Score,1978-01-01T00:00:00Z,
tt0082979,Academy Award for Best Cinematography,1980-01-01T00:00:00Z,
tt0082979,Academy Award for Best Director,1981-01-01T00:00:00Z,
tt0082979,National Board of Review Award for Best Film,1981-01-01T00:00:00Z,
tt0082979,BAFTA Award for Best Actor in a Supporting Role,1983-01-01T00:00:00Z,
tt0082979,Golden Globe Award for Best Director,1981-01-01T00:00:00Z,
tt0082979,National Board of Review: Top Ten Films,,
tt0082979,BAFTA Award for Best Actress in a Supporting Role,1983-01-01T00:00:00Z,
tt0082979,Academy Award for Best Supporting Actress,1980-01-01T00:00:00Z,
tt0086425,National Board of Review: Top Ten Films,,
tt0086425,Academy Award for Best Director,1982-01-01T00:00:00Z,
tt0086425,Academy Award for Best Actress,1982-01-01T00:00:00Z,
tt0086425,Academy Award for Best Supporting Actor,1982-01-01T00:00:00Z,
tt0086425,Academy Award for Best Writing Adapted Screenplay,1982-01-01T00:00:00Z,
tt0086425,Academy Award for Best Picture,1984-01-01T00:00:00Z,
tt0086425,National Board of Review Award for Best Film,,
